RegionName,RegionType,StateName,12/31/2020,3/31/2026
"Chillicothe, OH",msa,OH,144623.0122,198407.0222
"Searcy, AR",msa,AR,142071.4615,203387.3678
"Grand Island, NE",msa,NE,182084.3492,253724.3782
"Port Angeles, WA",msa,WA,360310.3523,491247.902
"Auburn, NY",msa,NY,156621.1112,224412.6407
"Huntsville, TX",msa,TX,222542.2453,267887.6366
"Keene, NH",msa,NH,238862.1997,380751.1898
"Heber, UT",msa,UT,762183.83,1146843.917
"Quincy, IL",msa,IL,149744.859,180813.9652
"Sandusky, OH",msa,OH,161937.9224,229732.6451
"Findlay, OH",msa,OH,176074.4107,236208.5936
"Frankfort, KY",msa,KY,167871.1112,245712.2671
"Danville, IL",msa,IL,77457.01908,95698.80698
"Aberdeen, WA",msa,WA,255769.5448,318161.1643
"Portsmouth, OH",msa,OH,98910.26219,139346.4037
"Somerset, PA",msa,PA,133663.9291,173656.8285
"Wisconsin Rapids, WI",msa,WI,149763.8946,223015.3697
"Jefferson, GA",msa,GA,273426.2799,405849.2802
"Kapaa, HI",msa,HI,707320.9158,1005105.843
"Palatka, FL",msa,FL,157937.4373,215211.8575
"Gallup, NM",msa,NM,192216.1839,219830.8774
"Hobbs, NM",msa,NM,251206.8719,191018.5499
"Shawnee, OK",msa,OK,128795.2954,193278.3083
"Mount Airy, NC",msa,NC,157250.4432,231745.1124
"Stevens Point, WI",msa,WI,216067.3073,314109.85
"Greeneville, TN",msa,TN,162138.5427,251725.6427
"Greenwood, SC",msa,SC,133687.14,170937.524
"Lake City, FL",msa,FL,186100.1861,269421.9869
"Klamath Falls, OR",msa,OR,214915.7066,311063.1162
"Morehead City, NC",msa,NC,312610.02,470742.5667
"Clearlake, CA",msa,CA,288584.4695,305228.9184
"Alamogordo, NM",msa,NM,154135.9497,231776.1065
"Roanoke Rapids, NC",msa,NC,86675.8887,106180.9089
"Farmington, MO",msa,MO,137865.8728,190543.9494
"Muskogee, OK",msa,OK,109669.3642,154940.8704
"Marion, IN",msa,IN,102015.1479,150332.7395
"Faribault, MN",msa,MN,260127.0995,344684.8058
"Richmond, IN",msa,IN,113124.3929,170231.478
"Marquette, MI",msa,MI,160627.1867,243592.2085
"North Wilkesboro, NC",msa,NC,156051.0434,225586.286
"Mount Pleasant, MI",msa,MI,167091.2805,222833.0916
"Rio Grande City, TX",msa,TX,161251.0922,142775.7352
"Marion, OH",msa,OH,121864.4237,178135.5075
"Baraboo, WI",msa,WI,243958.4905,330466.46
"Red Bluff, CA",msa,CA,274261.6124,318493.08
"Marinette, WI",msa,WI,127127.1545,197871.0017
"Roswell, NM",msa,NM,163019.62,170641.5644
"Shelton, WA",msa,WA,343117.6781,449927.6838
"Dublin, GA",msa,GA,139037.48,170553.4663
"Nacogdoches, TX",msa,TX,168558.73,217078.9698
"Somerset, KY",msa,KY,151494.7739,172252.8597
"Coos Bay, OR",msa,OR,269028.2102,346245.576
"Forest City, NC",msa,NC,164748.5838,222118.9554
"Martinsville, VA",msa,VA,96567.55,135974.7936
"Rexburg, ID",msa,ID,296415.7085,434510.7002
"Lewiston, ID",msa,ID,264531.0801,369772.4944
"Laconia, NH",msa,NH,309267.6479,505340.0916
"Georgetown, SC",msa,SC,265576.1623,384117.2225
"Athens, OH",msa,OH,144433.8259,180454.7509
"Sanford, NC",msa,NC,186747.2249,292350.9323
"Enid, OK",msa,OK,111924.9085,141163.2496
"Mount Vernon, OH",msa,OH,190811.3659,281688.8934
"Walla Walla, WA",msa,WA,306266.3578,413173.7757
"Albemarle, NC",msa,NC,200030.4397,303727.86
"Hutchinson, KS",msa,KS,104852.5747,151601.0862
"Hudson, NY",msa,NY,303378.03,466482.931
"Starkville, MS",msa,MS,198266.75,253204.1991
"Carlsbad, NM",msa,NM,254728.7347,247129.3338
"Gillette, WY",msa,WY,265127.0921,330275.0227
"Sturgis, MI",msa,MI,162824.0898,214226.3773
"Rutland, VT",msa,VT,217436.9137,308195.1554
"Crossville, TN",msa,TN,196555.8093,304427.4265
"Sayre, PA",msa,PA,152834.0221,200736.9244
"Salina, KS",msa,KS,130071.5791,175832.0896
"Marietta, OH",msa,OH,146556.5568,184199.9131
"Fergus Falls, MN",msa,MN,230856.6725,323144.1035
"Barre, VT",msa,VT,288237.4655,390849.7571
"Fremont, OH",msa,OH,128310.4184,182947.7865
"Oneonta, NY",msa,NY,159490.3445,205204.7233
"Columbus, MS",msa,MS,146179.4972,182786.9684
"Norwalk, OH",msa,OH,141420.773,192844.4972
"Batavia, NY",msa,NY,153991.3377,217962.1541
"Ardmore, OK",msa,OK,130131.6223,178983.5448
"Palestine, TX",msa,TX,161708.5843,215928.7858
"Fort Madison, IA",msa,IA,107600.8016,121994.6837
"Charleston, IL",msa,IL,111369.8296,144802.5831
"Fernley, NV",msa,NV,319186.7216,412448.3241
"Carson City, NV",msa,NV,375059.4367,492410.46
"Eagle Pass, TX",msa,TX,170752.4363,230833.6094
"Calhoun, GA",msa,GA,174302.5411,275392.2351
"Cullowhee, NC",msa,NC,273397.7461,404877.9441
"Kearney, NE",msa,NE,209572.402,290672.5294
"Fairmont, WV",msa,WV,130266.7911,160442.7711
"Ontario, OR",msa,OR,248236.8715,371325.7267
"Gaffney, SC",msa,SC,176501.1637,186457.6225
"Picayune, MS",msa,MS,147337.8832,193968.7897
"Sterling, IL",msa,IL,107155.3235,138266.1808
"Branson, MO",msa,MO,180452.083,247458.5558
"Cedar City, UT",msa,UT,281631.5495,409474.0114
"Waycross, GA",msa,GA,122124.4842,171673.7834
"Oxford, MS",msa,MS,251159.5131,401845.3168
"Jasper, IN",msa,IN,171702.7131,240950.0314
"Edwards, CO",msa,CO,769204.5863,1311613.043
"Durango, CO",msa,CO,451217.1326,673406.7911
"Kinston, NC",msa,NC,94580.30917,154034.0291
"Sonora, CA",msa,CA,333853.7955,388502.3279
"Tiffin, OH",msa,OH,127695.9627,172715.6746
"Batesville, AR",msa,AR,141112.4531,163199.1335
"Point Pleasant, WV",msa,OH,120022.2658,162375.2998
"Elko, NV",msa,NV,286180.47,367159.9084
"Danville, KY",msa,KY,144522.7313,207869.0219
"Glasgow, KY",msa,KY,150576.3876,206522.2278
"St. Marys, GA",msa,GA,204248.9151,304885.29
"Boone, NC",msa,NC,333714.3138,506588.236
"Warrensburg, MO",msa,MO,214158.0887,280804.9231
"Gloversville, NY",msa,NY,149952.2021,210959.7691
"Fort Leonard Wood, MO",msa,MO,147735.2689,225298.2931
"Poplar Bluff, MO",msa,MO,121628.5994,165950.7939
"Elizabeth City, NC",msa,NC,184120.9316,267708.7461
"Payson, AZ",msa,AZ,280225.5469,386388.3819
"Athens, TN",msa,TN,175347.1785,256632.4879
"Enterprise, AL",msa,AL,136900.8418,175252.1533
"Ashland, OH",msa,OH,160451.2795,237528.5011
"Scottsboro, AL",msa,AL,147131.9654,191459.1412
"Milledgeville, GA",msa,GA,171319.8907,232973.6388
"Kerrville, TX",msa,TX,301138.0683,371200.8058
"Bartlesville, OK",msa,OK,124892.7782,181487.1043
"Platteville, WI",msa,WI,159398.8657,222292.2458
"Corsicana, TX",msa,TX,159758.5124,228300.874
"Greenville, OH",msa,OH,138729.1951,209194.4084
"Rochelle, IL",msa,IL,154421.4841,218885.2226
"Douglas, GA",msa,GA,136603.058,175391.2745
"Oil City, PA",msa,PA,101747.3252,127342.5972
"Mason City, IA",msa,IA,142762.7333,194764.6451
"Jacksonville, TX",msa,TX,179456.3469,230230.7162
"Galesburg, IL",msa,IL,93394.15732,111792.6067
"Pahrump, NV",msa,NV,255518.2748,359450.6722
"Paris, TX",msa,TX,152175.4229,203262.9415
"Winona, MN",msa,MN,194157.7668,273298.3219
"Newport, OR",msa,OR,338075.0804,468671.959
"Morgan City, LA",msa,LA,124507.8462,111056.8556
"Shelbyville, TN",msa,TN,221936.0009,331976.8206
"Amsterdam, NY",msa,NY,146615.6189,205802.9612
"Ozark, AL",msa,AL,124715.9875,159484.4742
"Alice, TX",msa,TX,162151.485,126356.5962
"Gardnerville Ranchos, NV",msa,NV,547726.4734,694117.7582
"Fort Polk South, LA",msa,LA,154271.4765,151144.1341
"Ca-¦on City, CO",msa,CO,251876.2375,336793.7242
"Natchez, MS",msa,LA,124413.0778,114826.1792
"New Castle, IN",msa,IN,125205.6906,186372.9644
"Clovis, NM",msa,NM,158435.9051,159649.8017
"Norfolk, NE",msa,NE,181115.4603,251638.6981
"Cadillac, MI",msa,MI,164928.3959,227779.1413
"Ruston, LA",msa,LA,197753.0288,220434.7785
"Sidney, OH",msa,OH,160361.2384,239829.6958
"Pullman, WA",msa,WA,252277.6482,320730.2425
"Malone, NY",msa,NY,129457.2586,169101.2935
"Del Rio, TX",msa,TX,173047.3439,209971.4424
"Blackfoot, ID",msa,ID,268866.871,381810.0238
"Red Wing, MN",msa,MN,244948.9453,322014.2982
"Nogales, AZ",msa,AZ,203764.0801,279595.2329
"Tahlequah, OK",msa,OK,139729.561,206426.7432
"Kendallville, IN",msa,IN,167145.5636,246756.3213
"Montrose, CO",msa,CO,339919.4203,494419.9905
"Cortland, NY",msa,NY,139008.1645,196393.6081
"Mount Sterling, KY",msa,KY,146430.5814,192813.0709
"Clinton, IA",msa,IA,137311.4188,173141.2925
"Sandpoint, ID",msa,ID,442419.3899,648371.0955
"Bardstown, KY",msa,KY,184188.9034,266234.6803
"Wapakoneta, OH",msa,OH,167475.1959,235451.5535
"Plymouth, IN",msa,IN,171351.9873,253827.1011
"Lewistown, PA",msa,PA,126584.4377,190147.0115
"Bemidji, MN",msa,MN,186403.5248,261083.1761
"Bellefontaine, OH",msa,OH,184755.6253,251088.3349
"Seymour, IN",msa,IN,162167.8553,227785.6636
"Burley, ID",msa,ID,216876.9925,333018.7201
"Durant, OK",msa,OK,167083.00,226192.1354
"Moultrie, GA",msa,GA,131796.9526,171126.7687
"Bogalusa, LA",msa,LA,143310.5955,131139.8554
"Cornelia, GA",msa,GA,205933.9297,320278.1584
"Hillsdale, MI",msa,MI,155221.0716,206589.7674
"Thomasville, GA",msa,GA,157382.8627,226002.6395
"Paragould, AR",msa,AR,147857.696,190034.096
"Greenville, MS",msa,MS,127087.3903,62029.87255
"Burlington, IA",msa,IA,123368.6666,140636.5539
"Madisonville, KY",msa,KY,112600.5268,149454.9844
"Menomonie, WI",msa,WI,219720.8307,306513.516
"Shawano, WI",msa,WI,169107.4988,273171.7958
"Vicksburg, MS",msa,MS,136336.8525,145891.4524
"Bedford, IN",msa,IN,146008.92,209609.2001
"Washington, NC",msa,NC,156796.7583,233423.9325
"Freeport, IL",msa,IL,93124.31565,153740.118
"Harrison, AR",msa,AR,155989.5774,226397.6043
"Rolla, MO",msa,MO,158895.3914,229866.0546
"Coldwater, MI",msa,MI,159429.1325,200975.5545
"Marion, NC",msa,NC,200704.2188,260180.7878
"Huntingdon, PA",msa,PA,146341.62,179018.9776
"Ellensburg, WA",msa,WA,382658.34,491438.3848
"Ponca City, OK",msa,OK,87507.19098,112248.4484
"Lawrenceburg, TN",msa,TN,167142.1881,247490.4148
"McAlester, OK",msa,OK,110922.6451,147590.9817
"Mount Pleasant, TX",msa,TX,179210.547,222324.7102
"Willmar, MN",msa,MN,201508.3267,275494.3295
"Rockingham, NC",msa,NC,98867.81877,132382.6571
"Muscatine, IA",msa,IA,148380.0026,195909.6908
"Lewisburg, PA",msa,PA,211789.7833,288831.2053
"Auburn, IN",msa,IN,166912.1202,249246.2701
"Duncan, OK",msa,OK,95291.09281,140550.9923
"Sedalia, MO",msa,MO,129555.0065,193127.0441
"Cedartown, GA",msa,GA,141757.7533,221088.9289
"Henderson, NC",msa,NC,140275.388,183579.7973
"Aberdeen, SD",msa,SD,179766.7099,236760.97
"Rock Springs, WY",msa,WY,229333.9434,287327.2829
"Garden City, KS",msa,KS,179231.6526,230125.0856
"Stephenville, TX",msa,TX,230271.2684,341298.7092
"Celina, OH",msa,OH,185126.0549,267911.662
"Wilmington, OH",msa,OH,174765.2269,251236.0075
"Bucyrus, OH",msa,OH,110379.1018,157638.2261
"Alma, MI",msa,MI,139115.6727,179917.575
"El Campo, TX",msa,TX,220260.3564,243329.2375
"Mountain Home, AR",msa,AR,166263.7813,229094.88
"Gainesville, TX",msa,TX,242574.1031,320568.3307
"Tifton, GA",msa,GA,165682.5308,207498.2943
"Blytheville, AR",msa,AR,121738.2502,110634.5346
"McMinnville, TN",msa,TN,174268.015,256705.1906
"Astoria, OR",msa,OR,382108.0124,509173.9931
"Bradford, PA",msa,PA,97674.60,106450.6135
"Espa-¦ola, NM",msa,NM,273583.3917,342388.4871
"McComb, MS",msa,MS,110519.2541,105404.6468
"Big Stone Gap, VA",msa,VA,98612.87796,127813.6229
"Marshalltown, IA",msa,IA,141230.2932,189676.0732
"Big Rapids, MI",msa,MI,164283.0146,223023.3443
"Austin, MN",msa,MN,136815.0805,198998.8596
"Selinsgrove, PA",msa,PA,194885.2556,220764.3027
"West Plains, MO",msa,MO,134350.2067,215638.1399
"Okeechobee, FL",msa,FL,180510.7398,288649.7586
"Houghton, MI",msa,MI,133991.1378,185042.3335
"Moscow, ID",msa,ID,332003.0311,464963.52
"Clewiston, FL",msa,FL,177497.255,277460.756
"Riverton, WY",msa,WY,220929.0862,317943.5741
"El Dorado, AR",msa,AR,126631.3417,125883.1984
"Selma, AL",msa,AL,94116.1554,89794.55469
"Pittsburg, KS",msa,KS,97248.83227,135499.9221
"Hannibal, MO",msa,MO,140027.7059,209647.2352
"Warren, PA",msa,PA,103016.1252,134877.4367
"Alexandria, MN",msa,MN,249459.7776,337099.4715
"Urbana, OH",msa,OH,169427.2038,245715.6317
"Greenwood, MS",msa,MS,113174.6804,101037.14
"Cambridge, OH",msa,OH,123890.4823,161289.5188
"Williston, ND",msa,ND,294887.723,343443.2216
"Defiance, OH",msa,OH,133438.9634,181376.8882
"Sikeston, MO",msa,MO,144002.7932,159685.0987
"Safford, AZ",msa,AZ,224989.7685,305498.4465
"Jacksonville, IL",msa,IL,107326.82,122538.6063
"Ada, OK",msa,OK,135448.188,186262.8285
"Brownwood, TX",msa,TX,149150.5619,182913.7983
"Crawfordsville, IN",msa,IN,150309.6311,217140.5639
"Logansport, IN",msa,IN,114065.9157,166710.9647
"Scottsbluff, NE",msa,NE,139746.4948,195510.0259
"Natchitoches, LA",msa,LA,185177.5185,169865.8936
"Newberry, SC",msa,SC,187725.1604,219237.5211
"Lock Haven, PA",msa,PA,153276.167,194169.17
"Centralia, IL",msa,IL,91374.53854,117463.4841
"Easton, MD",msa,MD,374246.5937,493201.4891
"Owatonna, MN",msa,MN,208623.7709,292371.1839
"Mount Vernon, IL",msa,IL,110938.8475,134875.0441
"Laramie, WY",msa,WY,272370.3429,371054.9959
"Murray, KY",msa,KY,169462.8994,165376.7391
"Fremont, NE",msa,NE,165768.0774,242329.2963
"Bennington, VT",msa,VT,271600.614,368325.9791
"Sault Ste. Marie, MI",msa,MI,152758.3967,192500.78
"Campbellsville, KY",msa,KY,133320.9143,202256.7748
"Dyersburg, TN",msa,TN,140798.2124,171189.6343
"Escanaba, MI",msa,MI,128293.2723,197788.86
"Mayfield, KY",msa,KY,112313.0187,167085.3718
"Kill Devil Hills, NC",msa,NC,396894.4281,600622.9662
"Sulphur Springs, TX",msa,TX,231084.22,260706.7264
"Hutchinson, MN",msa,MN,207512.6032,291847.1253
"Coshocton, OH",msa,OH,128341.9319,184374.9908
"Huntington, IN",msa,IN,138882.8958,204661.3428
"DeRidder, LA",msa,LA,222316.8337,187233.5727
"Vincennes, IN",msa,IN,104883.3926,153848.4997
"Bay City, TX",msa,TX,171654.9903,203749.7164
"North Platte, NE",msa,NE,156806.7357,216918.8406
"Peru, IN",msa,IN,104870.7924,157517.0752
"Pontiac, IL",msa,IL,107339.8239,163492.64
"Lebanon, MO",msa,MO,162242.9255,234678.7114
"Newport, TN",msa,TN,172885.894,244577.9128
"Decatur, IN",msa,IN,158822.1821,245079.2913
"Vidalia, GA",msa,GA,122818.6375,169801.0176
"Brenham, TX",msa,TX,293717.5339,368913.4783
"Vernal, UT",msa,UT,227139.5434,352846.6964
"Ottumwa, IA",msa,IA,92907.9502,127580.7768
"Butte, MT",msa,MT,168241.8102,280545.5423
"Corinth, MS",msa,MS,141613.1211,181273.7469
"Brookhaven, MS",msa,MS,162957.3982,168135.1688
"Emporia, KS",msa,KS,135738.0924,184243.0488
"Jackson, WY",msa,WY,849137.06,1410017.172
"Big Spring, TX",msa,TX,173998.4626,144297.908
"Effingham, IL",msa,IL,164913.6929,211441.4796
"Dodge City, KS",msa,KS,135371.4654,209398.0775
"Watertown, SD",msa,SD,245440.8973,334277.5325
"Angola, IN",msa,IN,213531.5611,313128.8753
"Dixon, IL",msa,IL,127752.9611,174162.1933
"Laurinburg, NC",msa,NC,95841.81585,145287.9744
"Taos, NM",msa,NM,409352.4201,436539.391
"Brookings, SD",msa,SD,225575.0821,312509.7501
"Americus, GA",msa,GA,105181.2367,139247.6906
"Columbus, NE",msa,NE,199409.5645,276540.9675
"Taylorville, IL",msa,IL,94369.56594,128580.322
"Arcadia, FL",msa,FL,176773.324,250825.2014
"Lewisburg, TN",msa,TN,229409.7617,330086.7917
"Seneca Falls, NY",msa,NY,146933.0963,216695.5967
"Dickinson, ND",msa,ND,250215.2093,315487.8664
"Washington, IN",msa,IN,162633.0428,232435.1115
"Troy, AL",msa,AL,148614.1157,164614.2474
"Malvern, AR",msa,AR,140146.9002,161674.7818
"Frankfort, IN",msa,IN,143313.8436,220987.5437
"Madison, IN",msa,IN,154661.5617,235995.961
"Brevard, NC",msa,NC,305642.0364,474891.9707
"Susanville, CA",msa,CA,208070.2857,231085.4873
"Martin, TN",msa,TN,120937.3817,188523.2294
"Plainview, TX",msa,TX,119492.5085,118924.5291
"Dayton, TN",msa,TN,182607.2092,261349.9942
"Jackson, OH",msa,OH,125067.9943,143125.564
"Cambridge, MD",msa,MD,205269.623,274332.1971
"Paris, TN",msa,TN,146844.2973,219592.2318
"Juneau, AK",msa,AK,385741.9607,470629.8991
"Coffeyville, KS",msa,KS,71325.38096,97414.42982
"Las Vegas, NM",msa,NM,200411.0947,257447.4543
"Berlin, NH",msa,NH,157525.9192,251353.2154
"Cleveland, MS",msa,MS,169696.0495,124646.4044
"Hastings, NE",msa,NE,158573.8653,208908.9495
"Beeville, TX",msa,TX,193026.2588,172075.4449
"Kingsville, TX",msa,TX,136474.8285,151355.2863
"Wabash, IN",msa,IN,129309.9679,187673.9129
"Breckenridge, CO",msa,CO,771413.0334,987682.8508
"Albert Lea, MN",msa,MN,134247.4133,191501.0597
"Sheridan, WY",msa,WY,318103.1935,437514.04
"Union City, TN",msa,TN,111335.6131,162441.7811
"Miami, OK",msa,OK,101347.6314,137091.6505
"Iron Mountain, MI",msa,MI,139912.6247,180115.0034
"Jesup, GA",msa,GA,150554.5669,210265.2303
"McPherson, KS",msa,KS,171357.4818,222474.3444
"Kirksville, MO",msa,MO,147321.1265,186609.9021
"Ludington, MI",msa,MI,189641.7839,264160.1339
"Bainbridge, GA",msa,GA,127614.6025,172974.709
"Alpena, MI",msa,MI,127255.6615,189280.6349
"Washington Court House, OH",msa,OH,174646.8495,235389.9177
"Hays, KS",msa,KS,179836.6793,241342.092
"Fort Morgan, CO",msa,CO,265563.3019,327897.2828
"Van Wert, OH",msa,OH,120499.1381,182758.9628
"Kennett, MO",msa,MO,96718.12287,94241.89068
"Weatherford, OK",msa,OK,128921.0911,177254.3957
"Mountain Home, ID",msa,ID,243282.6232,355644.6079
"Mineral Wells, TX",msa,TX,212867.1246,281968.838
"Lincoln, IL",msa,IL,115555.40,136874.4357
"Silver City, NM",msa,NM,172672.103,188050.3608
"Elkins, WV",msa,WV,122665.9795,158923.157
"Macomb, IL",msa,IL,84449.46407,92995.22
"Camden, AR",msa,AR,107419.1016,106736.4752
"Crescent City, CA",msa,CA,302021.308,366306.9976
"North Vernon, IN",msa,IN,148255.8197,223975.3444
"Thomaston, GA",msa,GA,109299.7621,182631.9906
"Grants, NM",msa,NM,113953.3665,154534.2845
"Bennettsville, SC",msa,SC,107912.8283,83229.30359
"Fredericksburg, TX",msa,TX,404106.053,510034.0573
"Toccoa, GA",msa,GA,154164.3702,240413.19
"The Dalles, OR",msa,OR,305502.8575,398082.8313
"Greensburg, IN",msa,IN,176449.5992,255697.7322
"Indianola, MS",msa,MS,119388.5987,100453.7847
"La Grande, OR",msa,OR,225267.3306,330792.8054
"Ottawa, KS",msa,KS,166634.6755,257447.76
"New Ulm, MN",msa,MN,166268.6349,241159.3259
"Lexington, NE",msa,NE,156073.5728,211687.5335
"Great Bend, KS",msa,KS,79754.51315,120210.9074
"Spearfish, SD",msa,SD,317517.1533,449311.6696
"Wauchula, FL",msa,FL,149672.5711,238867.7501
"Marshall, MN",msa,MN,161175.1476,214015.9984
"Deming, NM",msa,NM,138018.411,161960.0498
"Mexico, MO",msa,MO,120795.862,184381.4082
"Fallon, NV",msa,NV,283587.3518,391084.171
"Altus, OK",msa,OK,86651.6391,111167.5877
"Uvalde, TX",msa,TX,179633.7974,196189.1683
"Hailey, ID",msa,ID,589185.3495,1046797.831
"Steamboat Springs, CO",msa,CO,659610.2159,1124089.346
"Summerville, GA",msa,GA,129951.092,175858.8296
"Moberly, MO",msa,MO,121863.2998,176866.5955
"Middlesborough, KY",msa,KY,128737.6219,98621.06488
"Woodward, OK",msa,OK,116204.6829,130639.2744
"Prineville, OR",msa,OR,350712.7845,469726.8182
"Hood River, OR",msa,OR,533302.0835,687132.37
"Forrest City, AR",msa,AR,89836.13919,81453.40257
"Connersville, IN",msa,IN,100029.277,159761.4963
"Mitchell, SD",msa,SD,179461.4195,254225.2317
"Marshall, MO",msa,MO,157091.4706,177080.9274
"Brookings, OR",msa,OR,375935.0366,449993.186
"Yankton, SD",msa,SD,214203.8875,274936.6783
"Wahpeton, ND",msa,ND,173050.8291,221039.9676
"Magnolia, AR",msa,AR,154999.7567,136161.4329
"Elk City, OK",msa,OK,115624.80,150781.72
"Liberal, KS",msa,KS,121808.1681,145452.9865
"Worthington, MN",msa,MN,164511.33,235071.9398
"Oskaloosa, IA",msa,IA,135412.67,194967.4935
"Pampa, TX",msa,TX,92852.4004,100807.0774
"Clarksdale, MS",msa,MS,65383.68484,47488.21751
"Sterling, CO",msa,CO,191568.3937,253105.6909
"Beatrice, NE",msa,NE,136815.1481,196281.9478
"Jamestown, ND",msa,ND,187583.7786,224526.3087
"Levelland, TX",msa,TX,154234.4811,167661.3795
"Grenada, MS",msa,MS,111937.974,132559.1318
"Maryville, MO",msa,MO,158619.4156,220422.80
"Arkadelphia, AR",msa,AR,122968.8329,163230.9956
"Dumas, TX",msa,TX,153124.6067,185861.6264
"Guymon, OK",msa,OK,125139.4494,164927.2811
"Borger, TX",msa,TX,108811.8342,119885.3908
"Pierre, SD",msa,SD,217326.87,292324.5905
"Huron, SD",msa,SD,156088.1397,188652.4053
"Storm Lake, IA",msa,IA,139982.897,186353.0386
"Cordele, GA",msa,GA,105816.694,133769.35
"Evanston, WY",msa,WY,217301.4527,327843.1777
"Raymondville, TX",msa,TX,231392.9715,187329.0193
"Port Lavaca, TX",msa,TX,179694.3775,203463.5523
"Othello, WA",msa,WA,219289.5061,308965.6765
"Vineyard Haven, MA",msa,MA,978654.47,1532623.98
"Parsons, KS",msa,KS,76781.68583,94153.42527
"Price, UT",msa,UT,168778.0297,279717.284
"Portales, NM",msa,NM,140667.1451,146147.9192
"Los Alamos, NM",msa,NM,428999.2917,582332.0868
"Hereford, TX",msa,TX,139829.3718,176133.8869
"Andrews, TX",msa,TX,224853.5318,260421.0217
"Spirit Lake, IA",msa,IA,276844.9338,375013.9605
"Fitzgerald, GA",msa,GA,89765.22864,123712.6822
"Winnemucca, NV",msa,NV,241580.5139,346394.0262
"Maysville, KY",msa,KY,112126.6726,166866.6292
"Snyder, TX",msa,TX,131707.5289,142976.0569
"Helena, AR",msa,AR,68961.47194,50147.72034
"Spencer, IA",msa,IA,139593.9387,189270.1391
"Atchison, KS",msa,KS,116440.6821,181055.1497
"Fairfield, IA",msa,IA,137861.0417,182152.6513
"Vermillion, SD",msa,SD,189435.54,284388.2132
"Sweetwater, TX",msa,TX,131407.2226,111683.637
"Pecos, TX",msa,TX,261283.8024,169710.2841
"Zapata, TX",msa,TX,162653.596,131019.5125
"Ketchikan, AK",msa,AK,324916.0107,393126.319
"Craig, CO",msa,CO,203733.6796,301863.2265
"Vernon, TX",msa,TX,110736.3309,99552.4663
"Lamesa, TX",msa,TX,119883.9595,111271.2933
