date,housing_starts,months_of_supply,active_listings,home_price_index,median_home_price,mortgage_rate
2000-01-01,1268.0,4.3,,100.551,165300.0,8.21
2000-02-01,1255.0,4.3,,101.339,165300.0,8.325
2000-03-01,1313.0,4.3,,102.126,165300.0,8.24
2000-04-01,1275.0,4.4,,102.922,163200.0,8.1525
2000-05-01,1230.0,4.4,,103.677,163200.0,8.515
2000-06-01,1202.0,4.8,,104.424,163200.0,8.288
2000-07-01,1142.0,4.1,,105.055,168800.0,8.1475
2000-08-01,1231.0,4.4,,105.769,168800.0,8.0275
2000-09-01,1195.0,4.0,,106.539,168800.0,7.912000000000001
2000-10-01,1235.0,4.0,,107.384,172900.0,7.795
2000-11-01,1212.0,4.2,,108.303,172900.0,7.745
2000-12-01,1226.0,3.6,,109.143,172900.0,7.382
2001-01-01,1275.0,3.8,,109.848,169800.0,7.0325
2001-02-01,1280.0,3.7,,110.502,169800.0,7.05
2001-03-01,1218.0,3.8,,111.11,169800.0,6.952
2001-04-01,1311.0,3.9,,111.652,179000.0,7.0775
2001-05-01,1285.0,4.0,,112.164,179000.0,7.145
2001-06-01,1295.0,4.2,,112.796,179000.0,7.159999999999999
2001-07-01,1298.0,4.2,,113.493,172500.0,7.1275
2001-08-01,1286.0,4.4,,114.169,172500.0,6.95
2001-09-01,1243.0,4.4,,114.813,172500.0,6.8175
2001-10-01,1240.0,4.3,,115.31,171100.0,6.6175
2001-11-01,1244.0,4.1,,115.857,171100.0,6.6579999999999995
2001-12-01,1285.0,3.8,,116.454,171100.0,7.0649999999999995
2002-01-01,1318.0,4.2,,117.142,188700.0,6.9975
2002-02-01,1501.0,4.0,,117.845,188700.0,6.8925
2002-03-01,1292.0,4.1,,118.688,188700.0,7.014
2002-04-01,1277.0,4.3,,119.611,187200.0,6.985
2002-05-01,1402.0,4.0,,120.725,187200.0,6.806
2002-06-01,1368.0,4.2,,121.814,187200.0,6.65
2002-07-01,1323.0,4.2,,122.888,178100.0,6.485
2002-08-01,1247.0,4.0,,123.832,178100.0,6.29
2002-09-01,1446.0,3.9,,124.781,178100.0,6.0925
2002-10-01,1352.0,4.0,,125.736,190100.0,6.1125
2002-11-01,1394.0,4.0,,126.671,190100.0,6.068
2002-12-01,1439.0,4.0,,127.625,190100.0,6.0475
2003-01-01,1537.0,4.0,,128.462,186000.0,5.9159999999999995
2003-02-01,1301.0,4.5,,129.357,186000.0,5.8425
2003-03-01,1399.0,4.1,,130.148,186000.0,5.745
2003-04-01,1374.0,4.1,,130.884,191800.0,5.8125
2003-05-01,1391.0,3.9,,131.735,191800.0,5.484
2003-06-01,1513.0,3.5,,132.649,191800.0,5.23
2003-07-01,1535.0,3.6,,133.777,191900.0,5.6325
2003-08-01,1484.0,3.5,,134.968,191900.0,6.264
2003-09-01,1555.0,3.8,,136.295,191900.0,6.1475
2003-10-01,1631.0,3.8,,137.533,198800.0,5.952
2003-11-01,1694.0,4.1,,138.795,198800.0,5.9325
2003-12-01,1647.0,4.0,,140.182,198800.0,5.8759999999999994
2004-01-01,1560.0,3.8,,141.647,212700.0,5.7125
2004-02-01,1481.0,3.7,,143.191,212700.0,5.635
2004-03-01,1632.0,3.6,,145.059,212700.0,5.445
2004-04-01,1646.0,4.0,,146.593,217600.0,5.83
2004-05-01,1652.0,3.8,,148.186,217600.0,6.27
2004-06-01,1526.0,3.9,,149.851,217600.0,6.2875
2004-07-01,1675.0,4.5,,151.338,213500.0,6.056
2004-08-01,1691.0,4.3,,152.633,213500.0,5.8675
2004-09-01,1555.0,4.1,,154.179,213500.0,5.754
2004-10-01,1660.0,3.9,,155.75,228800.0,5.7225
2004-11-01,1458.0,4.3,,157.527,228800.0,5.73
2004-12-01,1714.0,4.1,,159.33,228800.0,5.752
2005-01-01,1739.0,4.4,,161.289,232500.0,5.71
2005-02-01,1792.0,4.3,,163.346,232500.0,5.6275
2005-03-01,1583.0,4.1,,165.815,232500.0,5.928
2005-04-01,1658.0,4.3,,167.504,233700.0,5.855
2005-05-01,1714.0,4.2,,169.353,233700.0,5.72
2005-06-01,1719.0,4.3,,171.192,233700.0,5.582
2005-07-01,1724.0,4.2,,172.861,236400.0,5.695
2005-08-01,1728.0,4.5,,174.443,236400.0,5.82
2005-09-01,1789.0,4.7,,176.44,236400.0,5.774
2005-10-01,1740.0,4.5,,178.03,243600.0,6.065
2005-11-01,1808.0,5.0,,179.684,243600.0,6.33
2005-12-01,1628.0,4.9,,180.912,243600.0,6.272
2006-01-01,1823.0,5.3,,182.322,247700.0,6.145
2006-02-01,1804.0,6.1,,183.288,247700.0,6.2525
2006-03-01,1601.0,5.9,,184.365,247700.0,6.324
2006-04-01,1511.0,6.3,,184.33,246300.0,6.5075
2006-05-01,1570.0,6.2,,184.157,246300.0,6.5975
2006-06-01,1451.0,6.3,,183.508,246300.0,6.6819999999999995
2006-07-01,1424.0,7.3,,183.068,235600.0,6.7625
2006-08-01,1364.0,6.7,,182.593,235600.0,6.523999999999999
2006-09-01,1384.0,6.7,,182.798,235600.0,6.4025
2006-10-01,1212.0,7.3,,183.198,245400.0,6.3575
2006-11-01,1290.0,6.6,,183.608,245400.0,6.24
2006-12-01,1249.0,6.5,,184.137,245400.0,6.135
2007-01-01,1130.0,7.2,,184.515,257400.0,6.2175
2007-02-01,1189.0,7.9,,184.596,257400.0,6.285
2007-03-01,1202.0,7.9,,184.148,257400.0,6.156000000000001
2007-04-01,1197.0,7.4,,183.009,242200.0,6.18
2007-05-01,1130.0,7.8,,181.6,242200.0,6.2620000000000005
2007-06-01,1131.0,8.2,,180.253,242200.0,6.657500000000001
2007-07-01,1042.0,8.3,,179.109,241800.0,6.695
2007-08-01,957.0,9.2,,178.115,241800.0,6.572
2007-09-01,935.0,9.2,,177.556,241800.0,6.3825
2007-10-01,878.0,8.5,,176.623,238400.0,6.375
2007-11-01,833.0,9.4,,175.146,238400.0,6.208
2007-12-01,805.0,9.6,,174.34,238400.0,6.095
2008-01-01,773.0,9.3,,173.131,233900.0,5.758
2008-02-01,724.0,9.7,,171.539,233900.0,5.9175
2008-03-01,728.0,10.5,,170.05,233900.0,5.97
2008-04-01,682.0,10.3,,168.333,235300.0,5.9175
2008-05-01,679.0,10.7,,166.654,235300.0,6.036
2008-06-01,647.0,10.7,,165.014,235300.0,6.32
2008-07-01,615.0,10.5,,163.563,226500.0,6.425999999999999
2008-08-01,607.0,11.3,,161.985,226500.0,6.4775
2008-09-01,537.0,10.9,,160.306,226500.0,6.0375
2008-10-01,542.0,11.6,,158.325,222500.0,6.2
2008-11-01,459.0,11.4,,156.14,222500.0,6.0875
2008-12-01,403.0,11.2,,153.617,222500.0,5.286
2009-01-01,358.0,12.2,,151.506,208400.0,5.047499999999999
2009-02-01,358.0,10.5,,150.013,208400.0,5.13
2009-03-01,353.0,11.0,,148.659,208400.0,5.0025
2009-04-01,387.0,10.7,,147.948,220900.0,4.8100000000000005
2009-05-01,408.0,9.3,,147.693,220900.0,4.8575
2009-06-01,482.0,8.5,,148.087,220900.0,5.42
2009-07-01,509.0,7.9,,148.407,214300.0,5.2219999999999995
2009-08-01,487.0,7.5,,148.276,214300.0,5.1925
2009-09-01,510.0,7.8,,148.024,214300.0,5.0575
2009-10-01,476.0,7.4,,147.85,219000.0,4.952
2009-11-01,497.0,7.6,,148.136,219000.0,4.875
2009-12-01,484.0,8.0,,147.931,219000.0,4.93
2010-01-01,510.0,8.1,,147.396,222900.0,5.03
2010-02-01,526.0,8.3,,145.632,222900.0,4.99
2010-03-01,542.0,7.1,,145.857,222900.0,4.9675
2010-04-01,566.0,6.2,,146.398,219500.0,5.098000000000001
2010-05-01,457.0,9.3,,146.386,219500.0,4.8875
2010-06-01,445.0,8.3,,145.714,219500.0,4.7375
2010-07-01,426.0,8.9,,144.984,224100.0,4.564
2010-08-01,417.0,8.8,,143.91,224100.0,4.4275
2010-09-01,449.0,7.6,,143.013,224100.0,4.346
2010-10-01,438.0,8.2,,142.523,224300.0,4.225
2010-11-01,452.0,8.2,,142.163,224300.0,4.3
2010-12-01,429.0,7.0,,142.049,224300.0,4.714
2011-01-01,430.0,7.3,,141.511,226900.0,4.755
2011-02-01,391.0,8.1,,140.338,226900.0,4.9525
2011-03-01,429.0,7.2,,139.971,226900.0,4.836
2011-04-01,415.0,6.7,,140.003,228100.0,4.84
2011-05-01,414.0,6.6,,139.901,228100.0,4.6375
2011-06-01,435.0,6.6,,139.858,228100.0,4.51
2011-07-01,432.0,6.7,,139.727,223500.0,4.545
2011-08-01,422.0,6.5,,139.303,223500.0,4.27
2011-09-01,418.0,6.3,,138.659,223500.0,4.106
2011-10-01,439.0,6.0,,137.94,221100.0,4.0675
2011-11-01,465.0,5.7,,137.137,221100.0,3.9925
2011-12-01,522.0,5.3,,136.66,221100.0,3.9579999999999997
2012-01-01,518.0,5.3,,136.595,238400.0,3.915
2012-02-01,466.0,4.8,,136.522,238400.0,3.89
2012-03-01,472.0,4.9,,137.893,238400.0,3.9539999999999997
2012-04-01,504.0,4.9,,139.144,238700.0,3.91
2012-05-01,518.0,4.7,,140.144,238700.0,3.7979999999999996
2012-06-01,524.0,4.8,,141.019,238700.0,3.675
2012-07-01,517.0,4.6,,141.66,248800.0,3.55
2012-08-01,536.0,4.6,,142.269,248800.0,3.6019999999999994
2012-09-01,594.0,4.5,,142.898,248800.0,3.4975
2012-10-01,611.0,4.9,,143.591,251700.0,3.3825000000000003
2012-11-01,569.0,4.6,,144.575,251700.0,3.3519999999999994
2012-12-01,615.0,4.5,,145.491,251700.0,3.3449999999999998
2013-01-01,604.0,4.0,,146.816,258400.0,3.414
2013-02-01,651.0,4.1,,147.772,258400.0,3.5324999999999998
2013-03-01,624.0,4.2,,149.951,258400.0,3.565
2013-04-01,587.0,4.4,,151.508,268100.0,3.4450000000000003
2013-05-01,608.0,4.6,,152.84,268100.0,3.536
2013-06-01,614.0,4.1,,154.19,268100.0,4.07
2013-07-01,593.0,5.5,,155.596,264800.0,4.37
2013-08-01,631.0,5.5,,156.951,264800.0,4.456
2013-09-01,577.0,5.4,,158.215,264800.0,4.49
2013-10-01,595.0,4.9,,159.234,273600.0,4.192
2013-11-01,699.0,5.0,,160.07,273600.0,4.255
2013-12-01,647.0,5.2,,160.99,273600.0,4.4575
2014-01-01,567.0,5.1,,161.92,275200.0,4.432
2014-02-01,594.0,5.3,,162.516,275200.0,4.3025
2014-03-01,652.0,5.6,,163.074,275200.0,4.3425
2014-04-01,646.0,5.7,,163.376,288000.0,4.3375
2014-05-01,652.0,5.2,,163.641,288000.0,4.192
2014-06-01,603.0,5.7,,164.048,288000.0,4.1625
2014-07-01,656.0,6.2,,164.572,281000.0,4.13
2014-08-01,644.0,5.4,,165.198,281000.0,4.115
2014-09-01,664.0,5.4,,165.888,281000.0,4.1625
2014-10-01,699.0,5.3,,166.626,298900.0,4.036
2014-11-01,658.0,5.7,,167.321,298900.0,3.9975
2014-12-01,720.0,5.1,,168.036,298900.0,3.864
2015-01-01,703.0,4.8,,168.612,289200.0,3.67
2015-02-01,584.0,4.5,,169.104,289200.0,3.71
2015-03-01,627.0,5.1,,169.776,289200.0,3.77
2015-04-01,742.0,4.9,,170.278,289100.0,3.6719999999999997
2015-05-01,708.0,5.0,,170.862,289100.0,3.84
2015-06-01,700.0,5.4,,171.455,289100.0,3.9825
2015-07-01,759.0,5.2,,172.131,295800.0,4.046
2015-08-01,734.0,5.0,,172.908,295800.0,3.9050000000000002
2015-09-01,746.0,5.9,,173.8,295800.0,3.89
2015-10-01,705.0,5.6,,174.764,302500.0,3.7960000000000003
2015-11-01,774.0,5.5,,175.708,302500.0,3.9425
2015-12-01,765.0,5.1,,176.515,302500.0,3.964
2016-01-01,752.0,5.6,,177.244,299800.0,3.8725
2016-02-01,859.0,5.5,,177.625,299800.0,3.66
2016-03-01,753.0,5.5,,178.142,299800.0,3.694
2016-04-01,777.0,5.0,,178.742,306000.0,3.605
2016-05-01,753.0,5.1,,179.402,306000.0,3.6
2016-06-01,769.0,5.3,,180.066,306000.0,3.568
2016-07-01,769.0,4.5,1463025.0,180.838,303800.0,3.44
2016-08-01,734.0,5.0,1460071.0,181.824,303800.0,3.435
2016-09-01,777.0,5.2,1443103.0,182.796,303800.0,3.46
2016-10-01,859.0,5.2,1407722.0,183.721,310900.0,3.47
2016-11-01,817.0,5.2,1339724.0,184.728,310900.0,3.77
2016-12-01,801.0,5.4,1236003.0,185.694,310900.0,4.198
2017-01-01,785.0,5.4,1154139.0,186.775,313100.0,4.15
2017-02-01,864.0,5.3,1151139.0,187.29,313100.0,4.1675
2017-03-01,836.0,5.0,1172731.0,187.968,313100.0,4.196
2017-04-01,825.0,5.4,1198445.0,188.699,318200.0,4.045
2017-05-01,832.0,5.1,1253871.0,189.587,318200.0,4.01
2017-06-01,867.0,5.3,1292389.0,190.474,318200.0,3.904
2017-07-01,841.0,5.8,1322676.0,191.439,320500.0,3.9675000000000002
2017-08-01,867.0,6.1,1325376.0,192.621,320500.0,3.88
2017-09-01,839.0,5.3,1308624.0,193.715,320500.0,3.8049999999999997
2017-10-01,878.0,5.5,1287341.0,194.761,337900.0,3.895
2017-11-01,924.0,4.8,1228097.0,195.913,337900.0,3.9219999999999997
2017-12-01,824.0,5.6,1127819.0,197.136,337900.0,3.95
2018-01-01,872.0,6.0,1043968.0,198.279,331800.0,4.032500000000001
2018-02-01,894.0,5.7,1045168.0,199.205,331800.0,4.33
2018-03-01,875.0,5.2,1067293.0,199.94,331800.0,4.444
2018-04-01,908.0,5.6,1102074.0,200.629,315600.0,4.4675
2018-05-01,970.0,5.5,1156921.0,201.39,315600.0,4.586
2018-06-01,866.0,5.8,1216521.0,202.177,315600.0,4.57
2018-07-01,869.0,6.0,1261936.0,202.88,330900.0,4.5275
2018-08-01,900.0,6.5,1285682.0,203.635,330900.0,4.55
2018-09-01,875.0,6.6,1301939.0,204.294,330900.0,4.6274999999999995
2018-10-01,872.0,7.2,1304695.0,205.062,322800.0,4.83
2018-11-01,781.0,6.4,1273060.0,205.637,322800.0,4.866
2018-12-01,775.0,7.6,1185880.0,206.128,322800.0,4.6375
2019-01-01,917.0,7.0,1110654.0,206.515,313000.0,4.464
2019-02-01,778.0,6.3,1102678.0,206.831,313000.0,4.37
2019-03-01,837.0,5.6,1115955.0,207.047,313000.0,4.265
2019-04-01,874.0,5.7,1137210.0,207.498,322500.0,4.1425
2019-05-01,844.0,6.5,1180934.0,208.105,322500.0,4.072
2019-06-01,879.0,5.4,1219821.0,208.563,322500.0,3.8024999999999998
2019-07-01,888.0,6.1,1239557.0,209.214,318400.0,3.765
2019-08-01,909.0,5.5,1235278.0,210.01,318400.0,3.6159999999999997
2019-09-01,928.0,5.4,1224891.0,210.817,318400.0,3.605
2019-10-01,891.0,5.3,1208337.0,211.716,327100.0,3.6879999999999997
2019-11-01,915.0,5.4,1143358.0,212.755,327100.0,3.6950000000000003
2019-12-01,1004.0,5.5,1033913.0,213.916,327100.0,3.72
2020-01-01,970.0,5.7,951699.0,214.997,329000.0,3.624
2020-02-01,1034.0,5.6,928363.0,215.842,329000.0,3.4650000000000003
2020-03-01,878.0,6.4,937341.0,216.392,329000.0,3.45
2020-04-01,688.0,6.8,941752.0,216.797,317100.0,3.306
2020-05-01,740.0,5.3,928387.0,216.927,317100.0,3.2325
2020-06-01,904.0,4.0,871577.0,217.486,317100.0,3.1625
2020-07-01,1007.0,3.5,822849.0,219.253,327900.0,3.016
2020-08-01,1041.0,3.4,779567.0,222.266,327900.0,2.935
2020-09-01,1114.0,3.5,749403.0,225.714,327900.0,2.89
2020-10-01,1189.0,3.3,734048.0,229.649,338600.0,2.834
2020-11-01,1168.0,3.9,683830.0,233.207,338600.0,2.765
2020-12-01,1273.0,4.1,612307.0,236.528,338600.0,2.684
2021-01-01,1133.0,4.1,531780.0,239.63,355000.0,2.735
2021-02-01,1043.0,4.8,464924.0,242.34,355000.0,2.81
2021-03-01,1219.0,4.3,440592.0,245.43,355000.0,3.0825
2021-04-01,1060.0,4.6,435667.0,249.011,367800.0,3.06
2021-05-01,1099.0,5.5,447670.0,253.261,367800.0,2.9625
2021-06-01,1170.0,6.0,492432.0,258.1,367800.0,2.975
2021-07-01,1139.0,6.0,546697.0,262.558,395200.0,2.868
2021-08-01,1103.0,6.6,574649.0,266.609,395200.0,2.8425000000000002
2021-09-01,1091.0,6.2,578079.0,270.172,395200.0,2.9
2021-10-01,1101.0,6.8,565716.0,273.601,414000.0,3.0675
2021-11-01,1218.0,5.9,512250.0,277.31,414000.0,3.0675
2021-12-01,1174.0,5.6,445310.0,281.529,414000.0,3.098
2022-01-01,1176.0,5.8,376973.0,286.101,413500.0,3.4450000000000003
2022-02-01,1196.0,6.0,346514.0,291.096,413500.0,3.7625
2022-03-01,1175.0,6.8,354019.0,296.27,413500.0,4.172
2022-04-01,1204.0,8.3,379980.0,300.294,437700.0,4.9825
2022-05-01,1056.0,8.2,479469.0,303.299,437700.0,5.2299999999999995
2022-06-01,1013.0,9.7,573660.0,304.177,437700.0,5.522
2022-07-01,906.0,10.6,691663.0,303.367,438000.0,5.4125
2022-08-01,921.0,8.7,726793.0,301.058,438000.0,5.2225
2022-09-01,884.0,10.1,731511.0,299.053,438000.0,6.112
2022-10-01,869.0,9.7,752749.0,298.737,442600.0,6.9
2022-11-01,795.0,9.2,750209.0,298.443,442600.0,6.805
2022-12-01,860.0,8.7,680931.0,297.726,442600.0,6.364
2023-01-01,829.0,8.1,616869.0,297.356,429000.0,6.2725
2023-02-01,821.0,8.2,579268.0,297.711,429000.0,6.2575
2023-03-01,836.0,7.9,562453.0,298.654,429000.0,6.544
2023-04-01,871.0,7.7,562979.0,300.065,418500.0,6.342499999999999
2023-05-01,1005.0,6.9,582451.0,302.088,418500.0,6.425
2023-06-01,937.0,7.7,614336.0,304.207,418500.0,6.714
2023-07-01,1001.0,7.3,647145.0,306.546,435400.0,6.84
2023-08-01,951.0,8.0,669765.0,309.13,435400.0,7.072
2023-09-01,969.0,7.7,702470.0,311.236,435400.0,7.2
2023-10-01,979.0,7.8,738119.0,313.207,423200.0,7.62
2023-11-01,1125.0,8.8,755529.0,314.073,423200.0,7.442
2023-12-01,1042.0,8.4,714214.0,314.832,423200.0,6.815
2024-01-01,1013.0,8.1,665603.0,315.867,426800.0,6.6425
2024-02-01,1140.0,8.4,664745.0,317.247,426800.0,6.776000000000001
2024-03-01,1045.0,8.1,694844.0,318.081,426800.0,6.82
2024-04-01,1053.0,7.7,734324.0,319.104,414500.0,6.9925
2024-05-01,997.0,8.5,787726.0,320.016,414500.0,7.06
2024-06-01,981.0,8.4,839960.0,320.796,414500.0,6.9175
2024-07-01,871.0,7.9,883905.0,321.628,415300.0,6.8475
2024-08-01,1008.0,8.2,908944.0,322.425,415300.0,6.5
2024-09-01,1043.0,7.9,937267.0,323.421,415300.0,6.18
2024-10-01,948.0,9.3,954201.0,324.462,419300.0,6.428
2024-11-01,1014.0,8.7,952414.0,325.897,419300.0,6.805
2024-12-01,1078.0,8.2,871518.0,327.532,419300.0,6.715
2025-01-01,1000.0,9.0,829376.0,329.069,423100.0,6.958
2025-02-01,1098.0,9.3,847825.0,329.916,423100.0,6.842499999999999
2025-03-01,948.0,9.2,892561.0,328.956,423100.0,6.65
2025-04-01,948.0,8.5,959251.0,328.102,416100.0,6.725
2025-05-01,949.0,9.6,1036101.0,327.525,416100.0,6.816
2025-06-01,925.0,9.1,1082520.0,326.999,416100.0,6.8175
2025-07-01,951.0,9.3,1102787.0,326.904,410100.0,6.720000000000001
2025-08-01,869.0,8.4,1098681.0,327.197,410100.0,6.5875
2025-09-01,836.0,8.1,1100407.0,327.646,410100.0,6.3525
2025-10-01,894.0,9.0,1099856.0,328.74,405300.0,6.254
